
Lessons
Sqrt with no bits -> has nodes that are 4x U
 64Bit - D=2 for 8092, D=3 for 1e8
128Bit - D=2 for 32768, D=3 above
256Bit - D=2 for 131072, D=3 above

Running test case1 - 64bit
        1 ->        1 1.00  (D=1)
        2 ->        1 0.50  (D=1)
        4 ->        1 0.25  (D=1)
       10 ->        1 0.10  (D=1)
       16 ->        1 0.06  (D=1)
      100 ->       18 0.18  (D=2)
      256 ->       18 0.07  (D=2)
     1000 ->       34 0.03  (D=2)
     1024 ->       34 0.03  (D=2)
     2048 ->       66 0.03  (D=2)
     4096 ->       66 0.02  (D=2)
     8092 ->      130 0.02  (D=2)
    10000 ->     2323 0.23  (D=3)
    16384 ->     2323 0.14  (D=3)
    32768 ->     4627 0.14  (D=3)
    50000 ->     4627 0.09  (D=3)
    65536 ->     4627 0.07  (D=3)
   100000 ->     9235 0.09  (D=3)
   131072 ->     9235 0.07  (D=3)
   500000 ->    34851 0.07  (D=3)
  1000000 ->    34851 0.03  (D=3)
 10000000 ->   270403 0.03  (D=3)
100000000 ->  2130051 0.02  (D=3)
1000000007 -> 151622164 0.15  (D=4)

00:00:00.0312500 - 128bit
        1 ->        1 1.00  (D=1)
        2 ->        1 0.50  (D=1)
        4 ->        1 0.25  (D=1)
       10 ->        1 0.10  (D=1)
       16 ->        1 0.06  (D=1)
      100 ->        1 0.01  (D=1)
      256 ->       18 0.07  (D=2)
     1000 ->       34 0.03  (D=2)
     1024 ->       34 0.03  (D=2)
     2048 ->       66 0.03  (D=2)
     4096 ->       66 0.02  (D=2)
     8092 ->      130 0.02  (D=2)
    10000 ->      130 0.01  (D=2)
    16384 ->      130 0.01  (D=2)
    32768 ->      258 0.01  (D=2)
    50000 ->     4627 0.09  (D=3)
    65536 ->     4627 0.07  (D=3)
   100000 ->     9235 0.09  (D=3)
   131072 ->     9235 0.07  (D=3)
   500000 ->    34851 0.07  (D=3)
  1000000 ->    34851 0.03  (D=3)
 10000000 ->   270403 0.03  (D=3)
100000000 ->  2130051 0.02  (D=3)
1000000007 ->  8454403 0.01  (D=3)

Running test case1 - 256bit
        1 ->        1 1.00  (D=1)
        2 ->        1 0.50  (D=1)
        4 ->        1 0.25  (D=1)
       10 ->        1 0.10  (D=1)
       16 ->        1 0.06  (D=1)
      100 ->        1 0.01  (D=1)
      256 ->        1 0.00  (D=1)
     1000 ->       34 0.03  (D=2)
     1024 ->       34 0.03  (D=2)
     2048 ->       66 0.03  (D=2)
     4096 ->       66 0.02  (D=2)
     8092 ->      130 0.02  (D=2)
    10000 ->      130 0.01  (D=2)
    16384 ->      130 0.01  (D=2)
    32768 ->      258 0.01  (D=2)
    50000 ->      258 0.01  (D=2)
    65536 ->      258 0.00  (D=2)
   100000 ->      514 0.01  (D=2)
   131072 ->      514 0.00  (D=2)
   500000 ->    34851 0.07  (D=3)
  1000000 ->    34851 0.03  (D=3)
 10000000 ->   270403 0.03  (D=3)
100000000 ->  2130051 0.02  (D=3)
1000000007 ->  8454403 0.01  (D=3)
